,Month,Month Code,County,County Code,Deaths,latitude,longitude,Population,
2098,"Dec., 2016",2016/12,"Maricopa County, AZ",4013,12,33.34883,-112.49123,"3,817,117",
27,"Feb., 2007",2007/02,"Marion County, IN",18097,10,39.7810289,-86.1365457,"878,190",
231,"Dec., 2007",2007/12,"Marion County, IN",18097,14,39.7810289,-86.1365457,"878,190",
250,"Jan., 2008",2008/01,"Marion County, IN",18097,12,39.7810289,-86.1365457,"883,107",
339,"Jun., 2008",2008/06,"Marion County, IN",18097,10,39.7810289,-86.1365457,"883,107",
361,"Jul., 2008",2008/07,"Marion County, IN",18097,12,39.7810289,-86.1365457,"883,107",
442,"Nov., 2008",2008/11,"Marion County, IN",18097,11,39.7810289,-86.1365457,"883,107",
461,"Dec., 2008",2008/12,"Marion County, IN",18097,11,39.7810289,-86.1365457,"883,107",
531,"May, 2009",2009/05,"Marion County, IN",18097,12,39.7810289,-86.1365457,"890,879",
661,"Jan., 2010",2010/01,"Marion County, IN",18097,14,39.7810289,-86.1365457,"904,668",
683,"Mar., 2010",2010/03,"Marion County, IN",18097,10,39.7810289,-86.1365457,"904,668",
700,"Apr., 2010",2010/04,"Marion County, IN",18097,10,39.7810289,-86.1365457,"904,668",
717,"May, 2010",2010/05,"Marion County, IN",18097,12,39.7810289,-86.1365457,"904,668",
801,"Oct., 2010",2010/10,"Marion County, IN",18097,11,39.7810289,-86.1365457,"904,668",
845,"Jan., 2011",2011/01,"Marion County, IN",18097,11,39.7810289,-86.1365457,"910,861",
947,"Aug., 2011",2011/08,"Marion County, IN",18097,10,39.7810289,-86.1365457,"910,861",
1100,"Jun., 2012",2012/06,"Marion County, IN",18097,12,39.7810289,-86.1365457,"918,748",
1136,"Aug., 2012",2012/08,"Marion County, IN",18097,10,39.7810289,-86.1365457,"918,748",
1157,"Sep., 2012",2012/09,"Marion County, IN",18097,12,39.7810289,-86.1365457,"918,748",
1190,"Nov., 2012",2012/11,"Marion County, IN",18097,10,39.7810289,-86.1365457,"918,748",
1219,"Jan., 2013",2013/01,"Marion County, IN",18097,13,39.7810289,-86.1365457,"928,515",
1249,"Mar., 2013",2013/03,"Marion County, IN",18097,12,39.7810289,-86.1365457,"928,515",
1278,"May, 2013",2013/05,"Marion County, IN",18097,11,39.7810289,-86.1365457,"928,515",
1292,"Jun., 2013",2013/06,"Marion County, IN",18097,10,39.7810289,-86.1365457,"928,515",
1311,"Jul., 2013",2013/07,"Marion County, IN",18097,11,39.7810289,-86.1365457,"928,515",
1330,"Aug., 2013",2013/08,"Marion County, IN",18097,11,39.7810289,-86.1365457,"928,515",
1347,"Sep., 2013",2013/09,"Marion County, IN",18097,10,39.7810289,-86.1365457,"928,515",
1364,"Oct., 2013",2013/10,"Marion County, IN",18097,11,39.7810289,-86.1365457,"928,515",
1398,"Dec., 2013",2013/12,"Marion County, IN",18097,18,39.7810289,-86.1365457,"928,515",
1413,"Jan., 2014",2014/01,"Marion County, IN",18097,13,39.7810289,-86.1365457,"934,531",
1424,"Feb., 2014",2014/02,"Marion County, IN",18097,12,39.7810289,-86.1365457,"934,531",
1447,"Apr., 2014",2014/04,"Marion County, IN",18097,13,39.7810289,-86.1365457,"934,531",
