Year,Month,County,County_Code,Deaths,latitude,longitude,Population
2011,Apr,"Kings County, NY",36047,15,40.64530975,-73.95502303,2545000
2011,Apr,"Philadelphia County, PA",42101,22,40.0114538,-75.1326504,1539000
2011,Apr,"Shelby County, TN",47157,11,35.1782557,-89.8739775,933529
2011,Apr,"Harris County, TX",48201,11,29.8119769,-95.3741247,4181000
2011,May,"Maricopa County, AZ",4013,16,33.34883,-112.49123,3872000
2011,May,"Alameda County, CA",6001,12,37.6090291,-121.899142,1529875
2011,May,"Los Angeles County, CA",6037,52,34.3155072,-118.2096814,9897000
2011,May,"Duval County, FL",12031,14,30.3540073,-81.6632109,872455
2011,May,"Miami-Dade County, FL",12086,22,25.6364246,-80.4989467,2580000
2011,May,"Palm Beach County, FL",12099,10,26.6279798,-80.4494174,1338000
2011,May,"Cook County, IL",17031,39,41.8197385,-87.756525,5216000
2011,May,"Prince George's County, MD",24033,11,38.803929,-76.8518695,875277
2011,May,"Baltimore city, MD",24510,12,39.2559916,-76.634341,620792
2011,May,"Wayne County, MI",26163,25,42.2682408,-83.2844172,1801000
2011,May,"St. Louis County, MO",29189,11,38.63904535,-90.51882739,999016
2011,May,"Kings County, NY",36047,14,40.64530975,-73.95502303,2545000
2011,May,"Franklin County, OH",39049,12,40.0283162,-83.0076657,1180000
2011,May,"Philadelphia County, PA",42101,22,40.0114538,-75.1326504,1539000
2011,May,"Shelby County, TN",47157,11,35.1782557,-89.8739775,933529
2011,May,"Dallas County, TX",48113,18,32.7620405,-96.7790069,2410000
2011,May,"Harris County, TX",48201,26,29.8119769,-95.3741247,4181000
2011,Jun,"Maricopa County, AZ",4013,12,33.34883,-112.49123,3872000
2011,Jun,"Los Angeles County, CA",6037,39,34.3155072,-118.2096814,9897000
2011,Jun,"San Joaquin County, CA",6077,12,37.9372901,-121.2773719,695432
2011,Jun,"Miami-Dade County, FL",12086,16,25.6364246,-80.4989467,2580000
2011,Jun,"Fulton County, GA",13121,15,34.0580391,-84.2961283,950233
2011,Jun,"Cook County, IL",17031,42,41.8197385,-87.756525,5216000
2011,Jun,"Orleans Parish, LA",22071,14,30.0801436,-89.9319134,360840
2011,Jun,"Baltimore city, MD",24510,12,39.2559916,-76.634341,620792
2011,Jun,"Wayne County, MI",26163,33,42.2682408,-83.2844172,1801000
2011,Jun,"St. Louis city, MO",29510,11,38.6267938,-90.19770345,319104
2011,Jun,"Essex County, NJ",34013,11,40.7913922,-74.2479444,787006
2011,Jun,"Kings County, NY",36047,12,40.64530975,-73.95502303,2545000
2011,Jun,"Philadelphia County, PA",42101,26,40.0114538,-75.1326504,1539000
2011,Jun,"Dallas County, TX",48113,14,32.7620405,-96.7790069,2410000
2011,Jun,"Harris County, TX",48201,18,29.8119769,-95.3741247,4181000
2011,Jul,"Maricopa County, AZ",4013,14,33.34883,-112.49123,3872000
2011,Jul,"Alameda County, CA",6001,13,37.6090291,-121.899142,1529875
2011,Jul,"Contra Costa County, CA",6013,11,37.9034806,-121.9175345,1067000
2011,Jul,"Los Angeles County, CA",6037,38,34.3155072,-118.2096814,9897000
2011,Jul,"El Paso County, CO",8041,11,38.8287435,-104.5253456,636946
2011,Jul,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467,2580000
2011,Jul,"Cook County, IL",17031,65,41.8197385,-87.756525,5216000
2011,Jul,"Orleans Parish, LA",22071,10,30.0801436,-89.9319134,360840
2011,Jul,"Baltimore city, MD",24510,20,39.2559916,-76.634341,620792
2011,Jul,"Suffolk County, MA",25025,10,42.3544455,-70.9788771,736692
2011,Jul,"Wayne County, MI",26163,33,42.2682408,-83.2844172,1801000
2011,Jul,"Jackson County, MO",29095,11,40.6531945,-106.3447246,675373
2011,Jul,"Essex County, NJ",34013,13,40.7913922,-74.2479444,787006
2011,Jul,"Kings County, NY",36047,11,40.64530975,-73.95502303,2545000
2011,Jul,"Philadelphia County, PA",42101,29,40.0114538,-75.1326504,1539000
2011,Jul,"Shelby County, TN",47157,16,35.1782557,-89.8739775,933529
2011,Jul,"Dallas County, TX",48113,23,32.7620405,-96.7790069,2410000
2011,Jul,"Harris County, TX",48201,22,29.8119769,-95.3741247,4181000
2011,Jul,"Tarrant County, TX",48439,12,32.7513658,-97.335696,1848000
