,Month,Month Code,County,County Code,Deaths,latitude,longitude
1005,"Nov., 2011",2011/11,"Harris County, TX",48201,29,29.8119769,-95.3741247
1006,"Dec., 2011",2011/12,"Maricopa County, AZ",4013,13,33.34883,-112.49123
1007,"Dec., 2011",2011/12,"Los Angeles County, CA",6037,46,34.3155072,-118.2096814
1008,"Dec., 2011",2011/12,"Miami-Dade County, FL",12086,16,25.6364246,-80.4989467
1009,"Dec., 2011",2011/12,"Cook County, IL",17031,38,41.8197385,-87.756525
1010,"Dec., 2011",2011/12,"Orleans Parish, LA",22071,11,30.0801436,-89.9319134
1011,"Dec., 2011",2011/12,"Wayne County, MI",26163,26,42.2682408,-83.2844172
1012,"Dec., 2011",2011/12,"Bronx County, NY",36005,10,40.85703325,-73.83669616
1013,"Dec., 2011",2011/12,"Philadelphia County, PA",42101,26,40.0114538,-75.1326504
1014,"Dec., 2011",2011/12,"Bexar County, TX",48029,10,29.4263987,-98.5104781
1015,"Dec., 2011",2011/12,"Dallas County, TX",48113,14,32.7620405,-96.7790069
1016,"Dec., 2011",2011/12,"Harris County, TX",48201,10,29.8119769,-95.3741247
1017,"Dec., 2011",2011/12,"Tarrant County, TX",48439,11,32.7513658,-97.335696
1018,"Jan., 2012",2012/01,"Maricopa County, AZ",4013,25,33.34883,-112.49123
1019,"Jan., 2012",2012/01,"Los Angeles County, CA",6037,38,34.3155072,-118.2096814
1020,"Jan., 2012",2012/01,"Riverside County, CA",6065,12,33.7219991,-116.0372472
1021,"Jan., 2012",2012/01,"Broward County, FL",12011,10,26.1598074,-80.4623642
1022,"Jan., 2012",2012/01,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467
1023,"Jan., 2012",2012/01,"Cook County, IL",17031,38,41.8197385,-87.756525
1024,"Jan., 2012",2012/01,"Orleans Parish, LA",22071,20,30.0801436,-89.9319134
1025,"Jan., 2012",2012/01,"Genesee County, MI",26049,10,43.0220032,-83.7274305
1026,"Jan., 2012",2012/01,"Wayne County, MI",26163,33,42.2682408,-83.2844172
1027,"Jan., 2012",2012/01,"St. Louis County, MO",29189,10,38.63904535,-90.51882739
1028,"Jan., 2012",2012/01,"Cuyahoga County, OH",39035,10,41.4301347,-81.6905558
1029,"Jan., 2012",2012/01,"Oklahoma County, OK",40109,10,35.5533328,-97.4367741
1030,"Jan., 2012",2012/01,"Philadelphia County, PA",42101,29,40.0114538,-75.1326504
1031,"Jan., 2012",2012/01,"Shelby County, TN",47157,11,35.1782557,-89.8739775
1032,"Jan., 2012",2012/01,"Bexar County, TX",48029,11,29.4263987,-98.5104781
1033,"Jan., 2012",2012/01,"Harris County, TX",48201,15,29.8119769,-95.3741247
1034,"Feb., 2012",2012/02,"Alameda County, CA",6001,10,37.6090291,-121.899142
1035,"Feb., 2012",2012/02,"Los Angeles County, CA",6037,27,34.3155072,-118.2096814
1036,"Feb., 2012",2012/02,"Miami-Dade County, FL",12086,20,25.6364246,-80.4989467
1037,"Feb., 2012",2012/02,"Cook County, IL",17031,33,41.8197385,-87.756525
1038,"Feb., 2012",2012/02,"Baltimore city, MD",24510,10,39.2559916,-76.634341
1039,"Feb., 2012",2012/02,"Wayne County, MI",26163,11,42.2682408,-83.2844172
1040,"Feb., 2012",2012/02,"Essex County, NJ",34013,10,40.7913922,-74.2479444
1041,"Feb., 2012",2012/02,"Philadelphia County, PA",42101,18,40.0114538,-75.1326504
1042,"Feb., 2012",2012/02,"Bexar County, TX",48029,13,29.4263987,-98.5104781
1043,"Feb., 2012",2012/02,"Harris County, TX",48201,21,29.8119769,-95.3741247
1044,"Feb., 2012",2012/02,"Milwaukee County, WI",55079,10,43.01641545,-87.97373035
1045,"Mar., 2012",2012/03,"Maricopa County, AZ",4013,16,33.34883,-112.49123
1046,"Mar., 2012",2012/03,"Los Angeles County, CA",6037,33,34.3155072,-118.2096814
1047,"Mar., 2012",2012/03,"San Bernardino County, CA",6071,10,34.8253019,-116.0833144
1048,"Mar., 2012",2012/03,"San Joaquin County, CA",6077,12,37.9372901,-121.2773719
1049,"Mar., 2012",2012/03,"Duval County, FL",12031,12,30.3540073,-81.6632109
1050,"Mar., 2012",2012/03,"Miami-Dade County, FL",12086,24,25.6364246,-80.4989467
1051,"Mar., 2012",2012/03,"Fulton County, GA",13121,10,34.0580391,-84.2961283
1052,"Mar., 2012",2012/03,"Cook County, IL",17031,47,41.8197385,-87.756525
1053,"Mar., 2012",2012/03,"Orleans Parish, LA",22071,12,30.0801436,-89.9319134
1054,"Mar., 2012",2012/03,"Baltimore city, MD",24510,18,39.2559916,-76.634341
1055,"Mar., 2012",2012/03,"Wayne County, MI",26163,24,42.2682408,-83.2844172
1056,"Mar., 2012",2012/03,"Philadelphia County, PA",42101,24,40.0114538,-75.1326504
1057,"Mar., 2012",2012/03,"Bexar County, TX",48029,10,29.4263987,-98.5104781
1058,"Mar., 2012",2012/03,"Dallas County, TX",48113,10,32.7620405,-96.7790069
1059,"Mar., 2012",2012/03,"Harris County, TX",48201,27,29.8119769,-95.3741247
1060,"Apr., 2012",2012/04,"Maricopa County, AZ",4013,17,33.34883,-112.49123
1061,"Apr., 2012",2012/04,"Alameda County, CA",6001,13,37.6090291,-121.899142
1062,"Apr., 2012",2012/04,"Los Angeles County, CA",6037,38,34.3155072,-118.2096814
1063,"Apr., 2012",2012/04,"Cook County, IL",17031,40,41.8197385,-87.756525
1064,"Apr., 2012",2012/04,"Orleans Parish, LA",22071,14,30.0801436,-89.9319134
1065,"Apr., 2012",2012/04,"Baltimore city, MD",24510,15,39.2559916,-76.634341
1066,"Apr., 2012",2012/04,"Wayne County, MI",26163,28,42.2682408,-83.2844172
1067,"Apr., 2012",2012/04,"Clark County, NV",32003,10,36.13440979,-115.0472645
1068,"Apr., 2012",2012/04,"Kings County, NY",36047,11,40.64530975,-73.95502303
1069,"Apr., 2012",2012/04,"Franklin County, OH",39049,12,40.0283162,-83.0076657
1070,"Apr., 2012",2012/04,"Philadelphia County, PA",42101,20,40.0114538,-75.1326504
1071,"Apr., 2012",2012/04,"Shelby County, TN",47157,10,35.1782557,-89.8739775
1072,"Apr., 2012",2012/04,"Bexar County, TX",48029,11,29.4263987,-98.5104781
1073,"Apr., 2012",2012/04,"Dallas County, TX",48113,12,32.7620405,-96.7790069
1074,"Apr., 2012",2012/04,"Harris County, TX",48201,13,29.8119769,-95.3741247
1075,"May, 2012",2012/05,"Maricopa County, AZ",4013,19,33.34883,-112.49123
1076,"May, 2012",2012/05,"Los Angeles County, CA",6037,30,34.3155072,-118.2096814
1077,"May, 2012",2012/05,"San Bernardino County, CA",6071,17,34.8253019,-116.0833144
1078,"May, 2012",2012/05,"Miami-Dade County, FL",12086,15,25.6364246,-80.4989467
1079,"May, 2012",2012/05,"DeKalb County, GA",13089,11,33.7575613,-84.2186508
1080,"May, 2012",2012/05,"Cook County, IL",17031,50,41.8197385,-87.756525
1081,"May, 2012",2012/05,"Lake County, IN",18089,10,41.4193829,-87.3692227
1082,"May, 2012",2012/05,"East Baton Rouge Parish, LA",22033,10,30.5254797,-91.0899217
1083,"May, 2012",2012/05,"Orleans Parish, LA",22071,15,30.0801436,-89.9319134
1084,"May, 2012",2012/05,"Baltimore city, MD",24510,19,39.2559916,-76.634341
1085,"May, 2012",2012/05,"Wayne County, MI",26163,29,42.2682408,-83.2844172
1086,"May, 2012",2012/05,"St. Louis city, MO",29510,10,38.6267938,-90.19770345
